time,celsius,fahrenheit
13:34:59,26.4,79.5
13:35:02,26.9,80.4
13:35:05,26.9,80.4
13:35:09,26.5,79.7
13:35:12,25.6,78.1
13:35:15,24.7,76.5
13:35:18,23.8,74.8
13:35:22,22.9,73.2
13:35:25,22.1,71.8
13:35:28,21.4,70.5
13:35:31,20.6,69.1
13:35:35,20.0,68.0
13:35:38,19.4,66.9
13:35:41,18.8,65.8
Checksum did not validate. Try again.
13:35:47,17.8,64.0
13:35:50,17.5,63.5
13:35:53,17.1,62.8
13:35:56,16.7,62.1
13:36:00,16.4,61.5
13:36:03,16.0,60.8
13:36:06,15.6,60.1
13:36:09,15.4,59.7
13:36:13,15.0,59.0
13:36:16,14.8,58.6
13:36:19,14.6,58.3
13:36:22,14.3,57.7
13:36:26,14.1,57.4
13:36:29,13.9,57.0
13:36:32,13.7,56.7
13:36:36,13.5,56.3
13:36:39,13.3,55.9
13:36:42,13.1,55.6
13:36:45,13.0,55.4
13:36:49,12.8,55.0
Checksum did not validate. Try again.
13:36:54,12.5,54.5
13:36:57,12.4,54.3
13:37:01,12.2,54.0
13:37:04,12.1,53.8
13:37:07,11.9,53.4
13:37:10,11.9,53.4
13:37:14,11.7,53.1
13:37:17,11.6,52.9
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
13:37:31,11.1,52.0
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
DHT sensor not found, check wiring
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:38:43,9.5,49.1
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
13:38:53,9.3,48.7
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:39:00,9.2,48.6
A full buffer was not returned. Try again.
13:39:06,9.2,48.6
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:39:18,9.0,48.2
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:39:30,8.8,47.8
13:39:34,8.8,47.8
Checksum did not validate. Try again.
13:39:39,8.7,47.7
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Received unplausible data. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:40:14,8.4,47.1
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:40:24,9.0,48.2
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:40:36,10.1,50.2
A full buffer was not returned. Try again.
13:40:42,10.6,51.1
A full buffer was not returned. Try again.
13:40:48,11.1,52.0
A full buffer was not returned. Try again.
13:40:53,11.7,53.1
13:40:56,11.9,53.4
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:41:04,12.5,54.5
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:41:12,13.2,55.8
A full buffer was not returned. Try again.
13:41:17,13.6,56.5
A full buffer was not returned. Try again.
13:41:23,14.0,57.2
A full buffer was not returned. Try again.
13:41:28,14.4,57.9
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:41:50,15.8,60.4
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
13:42:27,17.8,64.0
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:42:35,18.1,64.6
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
13:42:47,18.5,65.3
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:43:02,19.0,66.2
A full buffer was not returned. Try again.
13:43:07,19.2,66.6
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:43:33,19.9,67.8
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:43:41,20.0,68.0
13:43:44,20.1,68.2
13:43:47,20.1,68.2
13:43:51,20.3,68.5
13:43:54,20.3,68.5
A full buffer was not returned. Try again.
13:43:59,20.4,68.7
13:44:03,20.5,68.9
Checksum did not validate. Try again.
13:44:08,20.5,68.9
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
DHT sensor not found, check wiring
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
13:44:34,21.0,69.8
Checksum did not validate. Try again.
A full buffer was not returned. Try again.
13:44:42,21.1,70.0
13:44:45,21.1,70.0
13:44:48,21.1,70.0
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:44:56,21.3,70.3
A full buffer was not returned. Try again.
13:45:02,21.3,70.3
Checksum did not validate. Try again.
13:45:07,21.4,70.5
13:45:10,21.5,70.7
13:45:14,21.5,70.7
13:45:17,21.5,70.7
13:45:20,21.5,70.7
13:45:23,21.6,70.9
A full buffer was not returned. Try again.
13:45:29,21.7,71.1
DHT sensor not found, check wiring
A full buffer was not returned. Try again.
Checksum did not validate. Try again.
13:45:39,21.7,71.1
Checksum did not validate. Try again.

13:45:45,21.8,71.2
13:45:48,21.9,71.4
A full buffer was not returned. Try again.
A full buffer was not returned. Try again.
13:45:56,21.9,71.4
DHT sensor not found, check wiring
DHT sensor not found, check wiring
13:46:03,22.0,71.6
13:46:07,22.0,71.6
13:46:10,22.0,71.6
